SampleId,PopId
ENPAK19,ENP
ENPAK20,ENP
ENPAK21,ENP
ENPAK22,ENP
ENPAK23,ENP
ENPAK24,ENP
ENPAK25,ENP
ENPAK26,ENP
ENPAK27,ENP
ENPAK28,ENP
ENPAK29,ENP
ENPAK30,ENP
ENPBC16,ENP
ENPBC17,ENP
ENPBC18,ENP
ENPCA02,ENP
ENPCA03,ENP
ENPCA04,ENP
ENPCA05,ENP
ENPCA06,ENP
ENPCA07,ENP
ENPCA08,ENP
ENPOR10,ENP
ENPOR11,ENP
ENPOR13,ENP
ENPWA14,ENP
ENPWA15,ENP
ESPCL01,ESP
ESPCL02,ESP
ESPCL03,ESP
ESPCL04,ESP
ESPCL05,ESP
ESPCL06,ESP
ESPCL07,ESP
ESPCL08,ESP
ESPCL09,ESP
ESPCL10,ESP
ESPCL11,ESP
ESPCL12,ESP
ESPCL13,ESP
ESPCL14,ESP
ESPCL15,ESP
ESPCL16,ESP
ESPCL17,ESP
ESPCL18,ESP
ESPCL19,ESP
ESPCL20,ESP
